Country,City,ISTAT Code,Comune,Population (2011),Query,Latitude,Longitude
Italy,Torino,1001,Agliè,"2,591","Agliè,Torino,Italy",45.367055,7.766918
Italy,Torino,1002,Airasca,"3,808","Airasca,Torino,Italy",44.917042,7.484321
Italy,Torino,1003,Ala di Stura,465,"Ala di Stura,Torino,Italy",45.31515,7.305909
Italy,Torino,1004,Albiano d'Ivrea,"1,778","Albiano d'Ivrea,Torino,Italy",45.432959,7.950621
Italy,Torino,1006,Almese,"6,378","Almese,Torino,Italy",45.1168763,7.39455
Italy,Torino,1007,Alpette,271,"Alpette,Torino,Italy",45.408916,7.578978
Italy,Torino,1008,Alpignano,"17,097","Alpignano,Torino,Italy",45.0957237,7.5254027
Italy,Torino,1009,Andezeno,"2,010","Andezeno,Torino,Italy",45.037748,7.870527
Italy,Torino,1010,Andrate,521,"Andrate,Torino,Italy",45.52736,7.880318
Italy,Torino,1011,Angrogna,882,"Angrogna,Torino,Italy",44.8435587,7.2236406
Italy,Torino,1012,Arignano,"1,057","Arignano,Torino,Italy",45.0402748,7.9015941
Italy,Torino,1013,Avigliana,"12,367","Avigliana,Torino,Italy",45.0779435,7.3983904
Italy,Torino,1014,Azeglio,"1,375","Azeglio,Torino,Italy",45.423459,7.993922
Italy,Torino,1015,Bairo,819,"Bairo,Torino,Italy",45.3865872,7.7554467
Italy,Torino,1016,Balangero,"3,178","Balangero,Torino,Italy",45.2753229,7.5202821
Italy,Torino,1017,Baldissero Canavese,551,"Baldissero Canavese,Torino,Italy",45.4101863,7.744158
Italy,Torino,1018,Baldissero Torinese,"3,825","Baldissero Torinese,Torino,Italy",45.0686356,7.8165308
Italy,Torino,1019,Balme,97,"Balme,Torino,Italy",45.3025045,7.2154316
Italy,Torino,1020,Banchette,"3,355","Banchette,Torino,Italy",45.453558,7.856318
Italy,Torino,1021,Barbania,"1,632","Barbania,Torino,Italy",45.291252,7.630317
Italy,Torino,1022,Bardonecchia,"3,273","Bardonecchia,Torino,Italy",45.078339,6.703205
Italy,Torino,1023,Barone Canavese,597,"Barone Canavese,Torino,Italy",45.3255274,7.8730627
Italy,Torino,1024,Beinasco,"18,185","Beinasco,Torino,Italy",45.022097,7.5793974
Italy,Torino,1025,Bibiana,"3,399","Bibiana,Torino,Italy",44.798937,7.288219
Italy,Torino,1026,Bobbio Pellice,566,"Bobbio Pellice,Torino,Italy",44.8079522,7.1167645
Italy,Torino,1027,Bollengo,"2,088","Bollengo,Torino,Italy",45.470859,7.94202
Italy,Torino,1028,Borgaro Torinese,"13,502","Borgaro Torinese,Torino,Italy",45.1521446,7.6579731
Italy,Torino,1029,Borgiallo,556,"Borgiallo,Torino,Italy",45.417055,7.668515
Italy,Torino,1030,Borgofranco d'Ivrea,"3,780","Borgofranco d'Ivrea,Torino,Italy",45.51286,7.858017
Italy,Torino,1031,Borgomasino,845,"Borgomasino,Torino,Italy",45.363257,7.987523
Italy,Torino,1032,Borgone Susa,"2,372","Borgone Susa,Torino,Italy",45.1230132,7.2409317
Italy,Torino,1033,Bosconero,"3,101","Bosconero,Torino,Italy",45.2675495,7.7666
Italy,Torino,1034,Brandizzo,"8,297","Brandizzo,Torino,Italy",45.1766065,7.8380043
Italy,Torino,1035,Bricherasio,"4,454","Bricherasio,Torino,Italy",44.8234086,7.3052956
Italy,Torino,1036,Brosso,472,"Brosso,Torino,Italy",45.4925019,7.8032885
Italy,Torino,1037,Brozolo,481,"Brozolo,Torino,Italy",45.1174365,8.0736027
Italy,Torino,1038,Bruino,"8,520","Bruino,Torino,Italy",45.0211522,7.4685506
Italy,Torino,1039,Brusasco,"1,760","Brusasco,Torino,Italy",45.1554921,8.0601029
Italy,Torino,1040,Bruzolo,"1,540","Bruzolo,Torino,Italy",45.1422257,7.195648
Italy,Torino,1041,Buriasco,"1,411","Buriasco,Torino,Italy",44.87364,7.41032
Italy,Torino,1042,Burolo,"1,267","Burolo,Torino,Italy",45.48116,7.93392
Italy,Torino,1043,Busano,"1,571","Busano,Torino,Italy",45.3294385,7.6557322
Italy,Torino,1044,Bussoleno,"6,521","Bussoleno,Torino,Italy",45.1392706,7.1477166
Italy,Torino,1045,Buttigliera Alta,"6,458","Buttigliera Alta,Torino,Italy",45.068804,7.434488
Italy,Torino,1046,Cafasse,"3,585","Cafasse,Torino,Italy",45.2459605,7.5172354
Italy,Torino,1047,Caluso,"7,679","Caluso,Torino,Italy",45.304955,7.895722
Italy,Torino,1048,Cambiano,"6,304","Cambiano,Torino,Italy",44.9714155,7.7786983
Italy,Torino,1049,Campiglione-Fenile,"1,385","Campiglione-Fenile,Torino,Italy",44.8045985,7.322312759550277
Italy,Torino,1050,Candia Canavese,"1,317","Candia Canavese,Torino,Italy",45.327755,7.885121
Italy,Torino,1051,Candiolo,"5,591","Candiolo,Torino,Italy",44.959244,7.601722
Italy,Torino,1052,Canischio,301,"Canischio,Torino,Italy",45.373987,7.5961265
Italy,Torino,1053,Cantalupa,"2,588","Cantalupa,Torino,Italy",44.945941,7.330317
Italy,Torino,1054,Cantoira,554,"Cantoira,Torino,Italy",45.3433486,7.3801242
Italy,Torino,1055,Caprie,"2,136","Caprie,Torino,Italy",45.118845,7.331914
Italy,Torino,1056,Caravino,"1,008","Caravino,Torino,Italy",45.398258,7.960322
Italy,Torino,1057,Carema,771,"Carema,Torino,Italy",45.5833024,7.8104064
Italy,Torino,1058,Carignano,"9,234","Carignano,Torino,Italy",44.906943,7.673225
Italy,Torino,1059,Carmagnola,"28,653","Carmagnola,Torino,Italy",44.8455856,7.7192711
Italy,Torino,1060,Casalborgone,"1,851","Casalborgone,Torino,Italy",45.130451,7.940426
Italy,Torino,1061,Cascinette d'Ivrea,"1,506","Cascinette d'Ivrea,Torino,Italy",45.480159,7.905619
Italy,Torino,1062,Caselette,"2,874","Caselette,Torino,Italy",45.104746,7.480817
Italy,Torino,1063,Caselle Torinese,"18,577","Caselle Torinese,Torino,Italy",45.1774901,7.6463671
Italy,Torino,1064,Castagneto Po,"1,820","Castagneto Po,Torino,Italy",45.159251,7.889425
Italy,Torino,1065,Castagnole Piemonte,"2,186","Castagnole Piemonte,Torino,Italy",44.8990644,7.566528
Italy,Torino,1066,Castellamonte,"10,008","Castellamonte,Torino,Italy",45.381955,7.712117
Italy,Torino,1067,Castelnuovo Nigra,415,"Castelnuovo Nigra,Torino,Italy",45.4374213,7.6992113
Italy,Torino,1068,Castiglione Torinese,"6,336","Castiglione Torinese,Torino,Italy",45.1008236,7.7979174
Italy,Torino,1069,Cavagnolo,"2,383","Cavagnolo,Torino,Italy",45.1521373,8.0514793
Italy,Torino,1070,Cavour,"5,642","Cavour,Torino,Italy",44.7854988,7.3738413
Italy,Torino,1071,Cercenasco,"1,864","Cercenasco,Torino,Italy",44.8612913,7.5012695
Italy,Torino,1072,Ceres,"1,080","Ceres,Torino,Italy",45.3133772,7.3896883
Italy,Torino,1073,Ceresole Reale,164,"Ceresole Reale,Torino,Italy",45.4324775,7.232401
Italy,Torino,1074,Cesana Torinese,"1,040","Cesana Torinese,Torino,Italy",44.9524431,6.7906727
Italy,Torino,1075,Chialamberto,360,"Chialamberto,Torino,Italy",45.3636694,7.3414713
Italy,Torino,1076,Chianocco,"1,695","Chianocco,Torino,Italy",45.1486239,7.1680915
Italy,Torino,1077,Chiaverano,"2,150","Chiaverano,Torino,Italy",45.49886,7.902619
Italy,Torino,1078,Chieri,"36,168","Chieri,Torino,Italy",45.0138842,7.8223544
Italy,Torino,1079,Chiesanuova,216,"Chiesanuova,Torino,Italy",45.4178859,7.6557948
Italy,Torino,1080,Chiomonte,942,"Chiomonte,Torino,Italy",45.119542,6.985306
Italy,Torino,1081,Chiusa di San Michele,"1,687","Chiusa di San Michele,Torino,Italy",45.1039129,7.326972
Italy,Torino,1082,Chivasso,"26,368","Chivasso,Torino,Italy",45.1909588,7.8871864
Italy,Torino,1083,Ciconio,365,"Ciconio,Torino,Italy",45.329915,7.7594925
Italy,Torino,1084,Cintano,264,"Cintano,Torino,Italy",45.428556,7.688115
Italy,Torino,1085,Cinzano,389,"Cinzano,Torino,Italy",45.0946102,7.9239642
Italy,Torino,1086,Cirié,"18,973","Cirié,Torino,Italy",45.2352767,7.6003081
Italy,Torino,1087,Claviere,212,"Claviere,Torino,Italy",44.9387991,6.7502942
Italy,Torino,1088,Coassolo Torinese,"1,571","Coassolo Torinese,Torino,Italy",45.2975828,7.4604581
Italy,Torino,1089,Coazze,"3,339","Coazze,Torino,Italy",45.0521938,7.2979015
Italy,Torino,1090,Collegno,"50,137","Collegno,Torino,Italy",45.0775473,7.5724262
Italy,Torino,1091,Colleretto Castelnuovo,358,"Colleretto Castelnuovo,Torino,Italy",45.4227551,7.6800403
Italy,Torino,1092,Colleretto Giacosa,610,"Colleretto Giacosa,Torino,Italy",45.4318872,7.7995915
Italy,Torino,1093,Condove,"4,704","Condove,Torino,Italy",45.1174186,7.3094552
Italy,Torino,1094,Corio,"3,410","Corio,Torino,Italy",45.3134988,7.5320874
Italy,Torino,1095,Cossano Canavese,528,"Cossano Canavese,Torino,Italy",45.387758,7.991523
Italy,Torino,1096,Cuceglio,"1,000","Cuceglio,Torino,Italy",45.3594346,7.8151868
Italy,Torino,1097,Cumiana,"7,882","Cumiana,Torino,Italy",44.979742,7.376717
Italy,Torino,1098,Cuorgnè,"10,141","Cuorgnè,Torino,Italy",45.3897204,7.6498168
Italy,Torino,1099,Druento,"8,513","Druento,Torino,Italy",45.1344531,7.5764559
Italy,Torino,1100,Exilles,270,"Exilles,Torino,Italy",45.0973834,6.9290646
Italy,Torino,1101,Favria,"5,320","Favria,Torino,Italy",45.331154,7.690617
Italy,Torino,1102,Feletto,"2,410","Feletto,Torino,Italy",45.303853,7.744719
Italy,Torino,1103,Fenestrelle,571,"Fenestrelle,Torino,Italy",45.0360951,7.0495615
Italy,Torino,1104,Fiano,"2,744","Fiano,Torino,Italy",45.2168706,7.5226852
Italy,Torino,1105,Fiorano Canavese,859,"Fiorano Canavese,Torino,Italy",45.467758,7.833718
Italy,Torino,1106,Foglizzo,"2,372","Foglizzo,Torino,Italy",45.2714422,7.8221333
Italy,Torino,1107,Forno Canavese,"3,691","Forno Canavese,Torino,Italy",45.345353,7.591015
Italy,Torino,1108,Frassinetto,277,"Frassinetto,Torino,Italy",45.4371418,7.6067428
Italy,Torino,1109,Front,"1,753","Front,Torino,Italy",45.280852,7.663618
Italy,Torino,1110,Frossasco,"2,870","Frossasco,Torino,Italy",44.9329437,7.3502181
Italy,Torino,1111,Garzigliana,556,"Garzigliana,Torino,Italy",44.837239,7.37442
Italy,Torino,1112,Gassino Torinese,"9,553","Gassino Torinese,Torino,Italy",45.1271131,7.8247919
Italy,Torino,1113,Germagnano,"1,293","Germagnano,Torino,Italy",45.2638716,7.4694832
Italy,Torino,1114,Giaglione,661,"Giaglione,Torino,Italy",45.1402386,7.0147562
Italy,Torino,1115,Giaveno,"16,730","Giaveno,Torino,Italy",45.0420053,7.3519942
Italy,Torino,1116,Givoletto,"3,509","Givoletto,Torino,Italy",45.162248,7.496416
Italy,Torino,1117,Gravere,745,"Gravere,Torino,Italy",45.125342,7.017507
Italy,Torino,1118,Groscavallo,205,"Groscavallo,Torino,Italy",45.3684966,7.2587768
Italy,Torino,1119,Grosso,"1,055","Grosso,Torino,Italy",45.257502,7.5579074
Italy,Torino,1120,Grugliasco,"37,870","Grugliasco,Torino,Italy",45.068046,7.57762
Italy,Torino,1121,Ingria,47,"Ingria,Torino,Italy",45.4664675,7.570917
Italy,Torino,1122,Inverso Pinasca,743,"Inverso Pinasca,Torino,Italy",44.94564,7.218414
Italy,Torino,1123,Isolabella,394,"Isolabella,Torino,Italy",44.9067269,7.9101512
Italy,Torino,1124,Issiglio,422,"Issiglio,Torino,Italy",45.4469344,7.7521217
Italy,Torino,1125,Ivrea,"24,196","Ivrea,Torino,Italy",45.4673791,7.874797
Italy,Torino,1126,La Cassa,"1,821","La Cassa,Torino,Italy",45.1802806,7.5162134
Italy,Torino,1127,La Loggia,"8,457","La Loggia,Torino,Italy",44.957744,7.667324
