Municipality,Latitude,Longitude,Setting,Setting Latitude,Setting Longitude,Setting Category
Agliè,45.367055,7.766918,Castello Ducale di Agliè,45.362094288904224,7.7691028480954865,History Museum
Agliè,45.367055,7.766918,Trattoria Scudo Di Francia,45.36515554724378,7.768055034770593,Italian Restaurant
Agliè,45.367055,7.766918,Pulperia,45.368701251011245,7.768916990320773,Food Court
Airasca,44.917042,7.484321,Bar Grease,44.91665542416714,7.484161729290867,Bar
Airasca,44.917042,7.484321,Dolcemente Pasticceria,44.916831840071076,7.48719154138956,Café
Airasca,44.917042,7.484321,La Piazzetta,44.91755670502447,7.490167935083567,Plaza
Airasca,44.917042,7.484321,Vetreria Ronchietti Giancarlo,44.917838865102674,7.49124920775359,Arts and Crafts Store
Ala di Stura,45.31515,7.305909,Albergo Raggio di Sole,45.31530005821915,7.306657938763064,Hotel
Ala di Stura,45.31515,7.305909,Peracchione Renato,45.315071696516384,7.302753342826951,Food and Beverage Retail
Ala di Stura,45.31515,7.305909,Il Sacripante,45.31291782856597,7.306894860435148,Cocktail Bar
Ala di Stura,45.31515,7.305909,La Montanara,45.3132544048521,7.295498362934292,Restaurant
Albiano d'Ivrea,45.432959,7.950621,Savoretto Rinuccia,45.43381640361568,7.949481284506737,Bar
Albiano d'Ivrea,45.432959,7.950621,Caffè 3 Dot,45.433799340764445,7.949507926084985,Burger Joint
Albiano d'Ivrea,45.432959,7.950621,Birreria Garden di Mansi Gianluca & C. SNC,45.43550176885975,7.943329310212447,Bar
Albiano d'Ivrea,45.432959,7.950621,Stazione Di Servizio Zanetto,45.427179979424636,7.948368889481742,Fuel Station
Almese,45.1168763,7.39455,L'Arcade,45.11757825721446,7.386384921049582,Italian Restaurant
Almese,45.1168763,7.39455,Pasticceria Dalmasso Almese,45.11741120439112,7.393121321088456,Cupcake Shop
Almese,45.1168763,7.39455,Grillo Verde,45.117898900542016,7.387757013227396,Pizzeria
Almese,45.1168763,7.39455,Bierfest,45.11659224369687,7.383505112946061,Beer Garden
Alpette,45.408916,7.578978,Alpette Rock Free Festival - La Decima,45.409052201373946,7.578881011064745,Music Venue
Alpette,45.408916,7.578978,Parco Robinson,45.40977574617294,7.575571310743881,Park
Alpignano,45.0957237,7.5254027,Gelateria Via Mazzini,45.099617840596494,7.5226617475918625,Ice Cream Parlor
Alpignano,45.0957237,7.5254027,Mister Lin,45.09337882269566,7.528207045851107,Chinese Restaurant
Alpignano,45.0957237,7.5254027,McDonald's,45.10173780487844,7.533708520959077,Fast Food Restaurant
Alpignano,45.0957237,7.5254027,Stazione Alpignano,45.0910542777227,7.524133660300531,Rail Station
Alpignano,45.0957237,7.5254027,Bar Christian,45.0910542777227,7.524133660300531,Café
Alpignano,45.0957237,7.5254027,Cascina Govean,45.09257138430972,7.518584238624495,Park
Alpignano,45.0957237,7.5254027,Farenheit,45.100555818102606,7.530029121227378,Bar
Alpignano,45.0957237,7.5254027,Primo incontro,45.10141641415599,7.534757013290753,Italian Restaurant
Andezeno,45.037748,7.870527,Charlotte SNC di Alluci Andrea e C.,45.03743779932011,7.8691180297835395,Eyecare Store
Andezeno,45.037748,7.870527,Emporio Enogastronomico,45.03636374731367,7.869852325330437,Diner
Andezeno,45.037748,7.870527,L'osto dël Tórcc,45.0377823847807,7.8737838317528155,Italian Restaurant
Andezeno,45.037748,7.870527,La Pizza Loca,45.03935922084781,7.867587416149663,Pizzeria
Andezeno,45.037748,7.870527,Cartotecnica Tedesco,45.03366,7.88123,Office Supply Store
Andrate,45.52736,7.880318,Ristorante Bar La Peschiera,45.52926035185485,7.875335036110407,Restaurant
Angrogna,44.8435587,7.2236406,Locanda Il Pomo D'Oro,44.84402827906136,7.224082127681562,Bar
Arignano,45.0402748,7.9015941,Ristorante Pizzeria Cyrano,45.0382588798064,7.903863593160531,Pizzeria
Arignano,45.0402748,7.9015941,Cinturini di Arignano di Rudas Tomaso e C.,45.03841639829568,7.904300583089402,Jewelry Store
Arignano,45.0402748,7.9015941,Cascina della Rocca,45.04260633539152,7.897856131924332,Tour Provider
Arignano,45.0402748,7.9015941,Pogliano Flexible Packaging SRL,45.03682964623379,7.904872316033794,Packaging Supply Store
Arignano,45.0402748,7.9015941,Noleggiotaxi.It,45.04482138386987,7.90456764027489,Taxi Stand
Avigliana,45.0779435,7.3983904,Coop,45.080443462788644,7.40107464427059,Supermarket
Avigliana,45.0779435,7.3983904,"Ristorante Cinese - Pizzeria ""Yang Zhou""",45.08539294830883,7.404053929951661,Chinese Restaurant
Avigliana,45.0779435,7.3983904,Canton Divino Locanda,45.078921008751784,7.39685357854512,Diner
Avigliana,45.0779435,7.3983904,Crota,45.07769290535391,7.397157583193723,Bar
Avigliana,45.0779435,7.3983904,El Mundo,45.0763263171413,7.399625904706333,Italian Restaurant
Avigliana,45.0779435,7.3983904,Gelateria Florian,45.082767176673826,7.401717359330598,Ice Cream Parlor
Avigliana,45.0779435,7.3983904,Trattoria Croce Bianca,45.082470282457706,7.394270760496335,Italian Restaurant
Avigliana,45.0779435,7.3983904,Stazione Avigliana,45.08535183071586,7.401274562693554,Rail Station
Avigliana,45.0779435,7.3983904,Gran Caffé Del Corso,45.0851232791326,7.400712136142754,Café
Azeglio,45.423459,7.993922,La cialda,45.42385299090986,7.994420177661601,Ice Cream Parlor
Azeglio,45.423459,7.993922,La Luna,45.423646789703035,7.994033017412127,Italian Restaurant
Azeglio,45.423459,7.993922,La Meridiana Cafè,45.42494286546069,7.995382557718265,Bar
Azeglio,45.423459,7.993922,Darna ristorante,45.42516868982509,7.995445242089677,Moroccan Restaurant
Azeglio,45.423459,7.993922,La Macina,45.42612094382607,7.992608167076942,Italian Restaurant
Azeglio,45.423459,7.993922,Margherita Benedetto Lea - Stratta M.M. & C.,45.42140735791822,7.983470411829349,Food and Beverage Retail
Bairo,45.3865872,7.7554467,Esedra Convivium,45.39020676127267,7.757850029320161,Tea Room
Bairo,45.3865872,7.7554467,Stazione di Servizio Repsol,45.38195928285838,7.76151431403513,Fuel Station
Bairo,45.3865872,7.7554467,Scuderia Equin'Ozio,45.38323310834427,7.745781301600132,Diner
Bairo,45.3865872,7.7554467,Autonoleggio Conto,45.380469954398734,7.762905361240196,Rental Car Location
Balangero,45.2753229,7.5202821,Benzo & Benzo,45.27629343005877,7.519329861487331,Café
Balangero,45.2753229,7.5202821,Garden 2000,45.27723652317055,7.511646278193596,Construction Supplies Store
Balangero,45.2753229,7.5202821,Bocciofila Balangero,45.2678776915792,7.518758615531398,Restaurant
Balangero,45.2753229,7.5202821,Bar Corona Grossa,45.26656006727439,7.519802981439692,Café
Baldissero Canavese,45.4101863,7.744158,Osteria dei Passeggeri,45.407420465377406,7.753087365303465,Trattoria
Baldissero Canavese,45.4101863,7.744158,Osteria Steakhouse,45.40722,7.753212,Restaurant
Baldissero Canavese,45.4101863,7.744158,"Damjl, Damanhur",45.417583838619116,7.7479258667320385,Tourist Information and Service
Baldissero Canavese,45.4101863,7.744158,Noleggio Con Conducente Rovetto,45.402541900382246,7.738672150115083,Travel Agency
Baldissero Torinese,45.0686356,7.8165308,Da Esterina,45.06919433233964,7.8158521520154585,Piedmontese Restaurant
Baldissero Torinese,45.0686356,7.8165308,Carrefour Express,45.06902636581471,7.814822112720616,Convenience Store
Baldissero Torinese,45.0686356,7.8165308,Tabacchi Baldissero,45.069540877710494,7.820098619416395,Smoke Shop
Baldissero Torinese,45.0686356,7.8165308,Soul Farm Hotel Montaldo Torinese,45.06845340447006,7.811603878067382,Spa
Baldissero Torinese,45.0686356,7.8165308,Soul Farm Hotel & OM Spa - Castello di Montaldo****,45.06845340447006,7.811603878067382,Hotel
Baldissero Torinese,45.0686356,7.8165308,Parco Giochi baldissero,45.071905,7.819949,Playground
Baldissero Torinese,45.0686356,7.8165308,Hosman,45.07363872995468,7.821308576770472,Medical Supply Store
Baldissero Torinese,45.0686356,7.8165308,Azienda Agricola Varetti Alberto,45.07039999779194,7.8058145448752,Farm
Baldissero Torinese,45.0686356,7.8165308,Flori2,45.0633228538867,7.825434415232525,Arts and Crafts Store
Balme,45.3025045,7.2154316,Fans Du Sport Asd,45.30235579592717,7.2183582092294705,Hotel
Balme,45.3025045,7.2154316,Ristorante Stella Alpina,45.302319,7.218957,Italian Restaurant
Banchette,45.453558,7.856318,Trattoria Moderna Il Simposio,45.45512371091717,7.861301450576776,Trattoria
Banchette,45.453558,7.856318,Caino Vineria,45.45804272042805,7.85048017278732,Wine Bar
Banchette,45.453558,7.856318,Sherwood Pub,45.45264126861559,7.855039536952972,Pub
Banchette,45.453558,7.856318,Hotel Crystal Palace,45.45507472151539,7.861353871504509,Hotel
Barbania,45.291252,7.630317,Cascina Margherita,45.28966282312563,7.621475736189601,Tourist Information and Service
Bardonecchia,45.078339,6.703205,Bardosteria,45.078788412488464,6.703840102098392,Restaurant
Bardonecchia,45.078339,6.703205,Cusinè Royal,45.079001551477205,6.701972614315408,Pizzeria
Bardonecchia,45.078339,6.703205,Borgo Vecchio,45.080674215752765,6.6976371095294915,Historic and Protected Site
Bardonecchia,45.078339,6.703205,Lalimentari Multicafè,45.0725086842851,6.699499817720224,Bar
Bardonecchia,45.078339,6.703205,Bar Torino,45.07901182959834,6.702971814836668,Café
Bardonecchia,45.078339,6.703205,Etable,45.07807148674438,6.707929217196206,Deli
Bardonecchia,45.078339,6.703205,La Filanda,45.0773588090819,6.710215511710188,Pizzeria
Bardonecchia,45.078339,6.703205,Pasticceria Ugetti,45.07789931552634,6.707408252431054,Pastry Shop
Bardonecchia,45.078339,6.703205,Al Crotin Caffetteria Enogoloseria,45.07815270640734,6.707235187722108,Wine Bar
Bardonecchia,45.078339,6.703205,Carrefour Express,45.0778722421956,6.707639594864701,Convenience Store
Bardonecchia,45.078339,6.703205,Il Laghetto,45.072332633190925,6.6957503731432935,Pizzeria
Bardonecchia,45.078339,6.703205,Cinema Sabrina,45.07816343619752,6.707324610412652,Movie Theater
Bardonecchia,45.078339,6.703205,Stazione Bardonecchia,45.07616794007875,6.709887155733485,Rail Station
Bardonecchia,45.078339,6.703205,Cafè Medail,45.07764619225344,6.708973132801649,Bar
Bardonecchia,45.078339,6.703205,K-Way,45.079110083535554,6.702119336039422,Clothing Store
Bardonecchia,45.078339,6.703205,Via Medail,45.078013213252866,6.706072699702515,Road
Bardonecchia,45.078339,6.703205,B2 - Burger & Beer,45.07806686575885,6.706519808950125,Burger Joint
Bardonecchia,45.078339,6.703205,Bar Miretti,45.078039298582915,6.707660948355874,Café
Bardonecchia,45.078339,6.703205,Bardò Bar,45.080075601774986,6.6985878837976545,Café
Bardonecchia,45.078339,6.703205,Piazza Valle Stretta,45.07601265161846,6.697628830903802,Plaza
Bardonecchia,45.078339,6.703205,Stella Alpina,45.077375160705785,6.709894743995681,Italian Restaurant
Bardonecchia,45.078339,6.703205,La Gran Baita,45.0733845778243,6.704512710285673,Hotel
Bardonecchia,45.078339,6.703205,Mi-Ami Spa Fit & Sport,45.07067591352794,6.696557127920438,Spa
Barone Canavese,45.3255274,7.8730627,Frola Enrico Fiori e Piante,45.32537,7.87181,Garden Center
Barone Canavese,45.3255274,7.8730627,Trattoria Al Girasol,45.32632191527504,7.871404525521324,Restaurant
Barone Canavese,45.3255274,7.8730627,Birreria Señorita,45.32532706518189,7.880853635289566,Pub
Barone Canavese,45.3255274,7.8730627,Residenza del Lago,45.32739306858899,7.884715021677412,Italian Restaurant
Beinasco,45.022097,7.5793974,Rosso di Sera,45.02202388039255,7.581024346399741,Steakhouse
Beinasco,45.022097,7.5793974,Angolo Partenopeo,45.02187534890648,7.5806789204580065,Pizzeria
Beinasco,45.022097,7.5793974,Wallace Pub & Osteria Teo il Mat,45.01616752547842,7.5699365858699865,Pub
Beinasco,45.022097,7.5793974,Hotel San Luigi,45.02797840305355,7.58415570475953,Hotel
Beinasco,45.022097,7.5793974,Road House,45.025598411918885,7.589405157813837,BBQ Joint
Beinasco,45.022097,7.5793974,OVS Beinasco,45.0215477446971,7.583644860565237,Clothing Store
Beinasco,45.022097,7.5793974,Biobottega Casa,45.0215477446971,7.583644860565237,Health Food Store
Bibiana,44.798937,7.288219,Gioielleria Orologeria Toscano,44.797412578826716,7.288252365976604,Jewelry Store
Bibiana,44.798937,7.288219,Ristorante La Vetta Della Rocca,44.79383255396425,7.283422508019124,Restaurant
Bibiana,44.798937,7.288219,Agricola Bargiolina,44.806191,7.294669,Restaurant
Bobbio Pellice,44.8079522,7.1167645,Laghetto Nais,44.80680306483019,7.121343803802125,Gastropub
Bobbio Pellice,44.8079522,7.1167645,Trattoria Del Centro,44.80778726363884,7.118007220105651,Restaurant
Bobbio Pellice,44.8079522,7.1167645,Moselli Luciano,44.80807355964341,7.118103820777928,Drugstore
Bobbio Pellice,44.8079522,7.1167645,Ristorante L'Alpina,44.80769804585788,7.1196094757303845,Restaurant
Bollengo,45.470859,7.94202,Jamaica Pub,45.46915845400559,7.93470486502779,Pub
Bollengo,45.470859,7.94202,Pastificio Destefano SRL,45.47741682028002,7.944714438824406,Grocery Store
Bollengo,45.470859,7.94202,Bistrò Self service,45.47152731468364,7.931619343550173,Italian Restaurant
Bollengo,45.470859,7.94202,Roby Arredamenti di Baralis Roberto,45.472452458601126,7.930778118650745,Furniture and Home Store
Borgaro Torinese,45.1521446,7.6579731,Associazione Bocciofila Borgarese,45.151899665822896,7.660835910102664,Restaurant
Borgaro Torinese,45.1521446,7.6579731,Il Punto Esclamativo,45.15249550441924,7.654351170518885,Event Service
Borgaro Torinese,45.1521446,7.6579731,"Stadio ""Walter Righi""",45.15097739539556,7.66191941447835,Soccer Stadium
Borgaro Torinese,45.1521446,7.6579731,Scarpe & Scarpe,45.15026316957171,7.6545110422137705,Shoe Store
Borgaro Torinese,45.1521446,7.6579731,Tablo SNC Ristorante Pizzeria Arcade,45.155841647003,7.6553241481005,Pizzeria
Borgaro Torinese,45.1521446,7.6579731,MondoBio,45.14836530562104,7.654717884220716,Food Court
Borgaro Torinese,45.1521446,7.6579731,Lama di La Rossa Mario,45.15600448032841,7.653335020190468,Shoe Store
Borgaro Torinese,45.1521446,7.6579731,Trattoria della Posta,45.152946,7.64903,Trattoria
Borgaro Torinese,45.1521446,7.6579731,Stazione Borgaro,45.15326045213324,7.648896308057509,Rail Station
